COMPANY_ID,QUERY,ANSWER,CONTEXT,__index_level_0__
ARCOTECH_2023_converted.txt_0,What is the equity share capital of the company?,The equity share capital of the company is 21.,Symbol: ARCOTECH Company Name: Arcotech Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 21 Total Share Capital: 24.32 Reserves and Surplus: -113.53 Total Reserves and Surplus: -113.53 Total Shareholders Funds: -89.21 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 0 Deferred Tax Liabilities [Net]: 0 Other Long Term,881
MAHSCOOTER_2023_converted.txt_1,What are the total shareholders' funds of the company?,"The total shareholders' funds of the company are 19,042.81.","Symbol: MAHSCOOTER Company Name: Maharashtra Scooters Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 11.43 Total Share Capital: 11.43 Reserves and Surplus: 19,031.38 Total Reserves and Surplus: 19,031.38 Total Shareholders Funds: 19,042.81 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 0 Deferred Tax Liabilities",1501
AGI_2023_converted.txt_1,What is the total reserves and surplus of the company?,"Total reserves and surplus of the company is 1,593.64.","Symbol: AGI Company Name: AGI Greenpac Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 12.94 Total Share Capital: 12.94 Reserves and Surplus: 1,593.64 Total Reserves and Surplus: 1,593.64 Total Shareholders Funds: 1,606.58 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 562.33 Deferred Tax Liabilities [Net]: 240.43",1204
JBMA_2023_converted.txt_2,What are the deferred tax liabilities of the company?,The deferred tax liabilities of the company are 90.22.,"Symbol: JBMA Company Name: JBM Auto Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 23.65 Total Share Capital: 23.65 Reserves and Surplus: 976.65 Total Reserves and Surplus: 976.65 Total Shareholders Funds: 1,000.30 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 258.69 Deferred Tax Liabilities [Net]: 90.22 Other",2222
TTKHLTCARE_2023_converted.txt_3,What is the total value of assets of the company?,"The total value of assets of the company is 1,170.11.","Liabilities: 210.78 Total Capital And Liabilities: 1,170.11 ASSETS: nan NON-CURRENT ASSETS: nan Tangible Assets: 71.15 Intangible Assets: 0.04 Capital Work-In-Progress: 2.79 Other Assets: 0 Fixed Assets: 73.98 Non-Current Investments: 12.85 Deferred Tax Assets [Net]: 4.36 Long Term Loans And Advances: 0 Other Non-Current Assets: 12.85 Total Non-Current",4017
TEXMOPIPES_2023_converted.txt_3,What are the deferred tax liabilities of the company?,Deferred Tax Liabilities of the company are 15.9.,Symbol: TEXMOPIPES Company Name: Texmo Pipes and Products Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 29.2 Total Share Capital: 29.2 Reserves and Surplus: 92.72 Total Reserves and Surplus: 156.83 Total Shareholders Funds: 186.03 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 13.46 Deferred Tax Liabilities [Net]:,2648
ALBERTDAVD_2023_converted.txt_3,What are the deferred tax liabilities of the company?,The deferred tax liabilities of the company are 0.,Symbol: ALBERTDAVD Company Name: Albert David Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 5.71 Total Share Capital: 5.71 Reserves and Surplus: 305.87 Total Reserves and Surplus: 305.87 Total Shareholders Funds: 311.57 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 0 Deferred Tax Liabilities [Net]: 0 Other Long,2728
AAVAS_2023_converted.txt_4,What is the total value of assets of the company?,"The total value of assets of the company is $13,410.53.","Liabilities: 8,537.39 Total Capital And Liabilities: 13,410.53 ASSETS: nan NON-CURRENT ASSETS: nan Tangible Assets: 74.2 Intangible Assets: 4.16 Capital Work-In-Progress: 0 Other Assets: 0 Fixed Assets: 98.73 Non-Current Investments: 0 Deferred Tax Assets [Net]: 0 Long Term Loans And Advances: 0 Other Non-Current Assets: 15.61 Total Non-Current Assets:",4175
ORIENTELEC_2023_converted.txt_0,What is the equity share capital of the company?,The equity share capital of the company is 21.28.,Symbol: ORIENTELEC Company Name: Orient Electric Ltd. EQUITIES AND LIABILITIES: nan SHAREHOLDER'S FUNDS: nan Equity Share Capital: 21.28 Total Share Capital: 21.28 Reserves and Surplus: 563.36 Total Reserves and Surplus: 563.36 Total Shareholders Funds: 584.64 NON-CURRENT LIABILITIES: nan Long Term Borrowings: 0 Deferred Tax Liabilities [Net]: 0 Other,568
INDBANK_2023_converted.txt_1,What is the Asset Turnover Ratio of the company?,Asset Turnover Ratio (%): 0.19,Profitability Ratios: nan PBDIT Margin (%): 34.74 PBIT Margin (%): 32.71 PBT Margin (%): 27.84 Net Profit Margin (%): 19.17 Return on Networth / Equity (%): 4.7 Return on Capital Employed (%): 7.96 Return on Assets (%): 3.59 Total Debt/Equity (X): 0.04 Asset Turnover Ratio (%): 0.19 Liquidity Ratios: nan Current Ratio (X): 3.99 Quick Ratio (X): 3.99,3102
